index,year,title,authors,venue,doi,cited_by_count_openalex,openalex_id,pdf_url,pdf_file,relevance_score
89,2022,Interpolated Individual Weighting Subband Volterra Filter for Nonlinear Active Noise Control,Yi Yu; Lu Lu; Zongsheng Zheng; Xiaomin Yang,IEEE Transactions on Circuits & Systems II Express Briefs,10.1109/tcsii.2022.3211280,17,https://openalex.org/W4312228506,,,24.17
90,2022,Novel Adaptive Fuzzy Feedback Neural Network Controller for Narrowband Active Noise Control System,Minh-Canh Huynh; Cheng‐Yuan Chang,IEEE Access,10.1109/access.2022.3167402,4,https://openalex.org/W4226092094,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09757171.pdf,,25.54
91,2023,A combined method for multi-channel active noise control based on online adaptive estimation and offline convolutional neural network,Qinxuan Xiang; Yijing Chu; Ming Wu; Guangzheng Yu,The Journal of the Acoustical Society of America,10.1121/10.0022860,0,https://openalex.org/W4389102687,,,20.5
92,2023,Clustering-Sparse Nyström Adaptive Filter-Based Nonlinear Distributed Active Noise Control System,Yingying Xiao; Qiangqiang Zhang; Yunfei Zheng; Junhui Qian; Shiyuan Wang,IEEE Transactions on Circuits & Systems II Express Briefs,10.1109/tcsii.2023.3347271,5,https://openalex.org/W4390357568,,,22.55
93,2023,Delayless Generative Fixed-Filter Active Noise Control Based on Deep Learning and Bayesian Filter,Zhengding Luo; Dongyuan Shi; Woon‐Seng Gan; Qirui Huang,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2023.3337632,37,https://openalex.org/W4389317961,,,22.87
94,2023,Feedback Active Noise Cancellation Using Single Sensor with Deep Learning,Alireza Mostafavi; Young‐Jin Cha,River Publishers eBooks,10.1007/978-3-031-34938-6_7,1,https://openalex.org/W4388846696,,,20.51
95,2023,SFANC with Compensation Filter Based on MEFxDCTLMS Algorithm,Kenya Doi; Yoshinobu Kajikawa,,10.1109/apsipaasc58517.2023.10317110,5,https://openalex.org/W4388820381,,,19.05
96,2023,Transferable Latent of CNN-Based Selective Fixed-Filter Active Noise Control,Dongyuan Shi; Woon‐Seng Gan; Bhan Lam; Zhengding Luo; Xiaoyi Shen,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2023.3261757,32,https://openalex.org/W4385486692,,,19.82
97,2024,Active noise cancellation using hybrid CNN-LSTM classification and genetic algorithm-based community detection extraction with LMS noise filtering process,V.D.M. Jabez Daniel; C. Mythili,Noise Control Engineering Journal,10.3397/1/377242,1,https://openalex.org/W4405756665,,,22.01
98,2024,An Adaptive Neuro Fuzzy Network for Nonlinear Active Noise Control Systems,Nguyen Thi Trung Tin; Jing Na; Nguyen Le Thai; Yingbo Huang; Gengen Li,,10.23919/ccc63176.2024.10662675,0,https://openalex.org/W4402569211,,,22.0
99,2024,Attention-based convolutional neural network for multi-channel active noise control,Deepali Singh; Rinki Gupta; Arun Kumar; Rajendar Bahl,NOISE-CON proceedings,10.3397/in_2024_3971,1,https://openalex.org/W4403264625,,,20.51
100,2024,Charbonnier Quasi Hyperbolic Momentum Spline Based Incremental Strategy for Nonlinear Distributed Active Noise Control,Rajapantula Kranthi; no-firstname Vasundhara; Asutosh Kar; Mads Græsbøll Christensen,IEEE Open Journal of Signal Processing,10.1109/ojsp.2024.3501774,5,https://openalex.org/W4404562697,,,19.55
101,2024,GFANC-RL: Reinforcement Learning-based Generative Fixed-filter Active Noise Control,Zhengding Luo; Haozhe Ma; Dongyuan Shi; Woon‐Seng Gan,Neural Networks,10.1016/j.neunet.2024.106687,11,https://openalex.org/W4402284121,,,115.11
102,2025,A New Hybrid Adaptive Self-Loading Filter and GRU-Net for Active Noise Control in a Right-Angle Bending Pipe of an Air Conditioner,Wenzhao Zhu; Zhou Gu; Xiaoling Chen; Ping Xie; Lei Luo; Zonglong Bai,Sensors,10.3390/s25206293,0,https://openalex.org/W4415051139,https://www.mdpi.com/1424-8220/25/20/6293/pdf?version=1760110962,,119.0
103,2025,Deep learning-based Generative Fixed-Filter Active Noise Control: Transferability and implementation,Zhengding Luo; Junwei Ji; Boxiang Wang; Dongyuan Shi; Haozhe Ma; Woon‐Seng Gan,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2025.113207,6,https://openalex.org/W4413423516,,,115.06
104,2025,Meta-learning-based delayless subband adaptive filter using complex self-attention for active noise control,Pengxing Feng; Hing Cheung So,Neurocomputing,10.1016/j.neucom.2025.130637,4,https://openalex.org/W4411660343,,,111.54
105,2025,Neuro-Fuzzy Network-Based Nonlinear Hybrid Active Noise Control Systems,Thi Trung Tin Nguyen; Jing Na; Le Thai Nguyen; Xian Wang,Entropy,10.3390/e27020138,4,https://openalex.org/W4406913846,,,119.04
106,2025,WaveNet-Volterra Neural Network for active noise control: A fully causal approach,Lu Bai; Siyuan Lian; Mengtong Li; Yiming He; Li Rao; Xiaofeng Zeng; Ruquan Sun; Kai Chen; Jing Lü,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2025.113486,3,https://openalex.org/W4415037925,,,118.03
107,2026,An Error Innovation-based Adaptive Kalman Filter for multi-channel Active Noise Control,Tahmida Islam; Miguel Ferrer; Maria de Diego; Alberto Gonzalez,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114113,1,https://openalex.org/W7133322243,,,15.01
108,2026,Hybrid deep learning–based active noise control for encapsulated structures with openings,Alkahf Aboutiman; Khaled Said Ahmed Maamoun; Hamid Reza Karimi; Francesco Ripamonti,Expert Systems with Applications,10.1016/j.eswa.2026.131247,0,https://openalex.org/W7124456593,,,23.5
109,2026,Robust momentum conjugate gradient filter with M-estimation for nonlinear active noise control,Wenxing Yang; Kaili Yin; Li Lü; Guokai Zhang; Min Ji,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114126,0,https://openalex.org/W7135029448,,,15.0
110,2026,TCN-KAN: A Parameter-Efficient and Causal Neural Network for Nonlinear Active Noise Control,Chengnan Li; Jiahao Zhuang; Geguo Du; Jie Yang,,10.1109/iceaai68945.2026.11442464,0,https://openalex.org/W7141752519,,,20.5
111,2026,Obs-TasNet: Online Estimation of Virtual Sensing Observation Filters for Active Noise Control,Felix Holzmüller; Alois Sontacchi,Acta Acustica,10.1051/aacus/2026027,0,https://openalex.org/W7138991781,,,86.0
112,2025,A multi-channel active noise control system using deep learning-based method to estimate secondary path and normalized-clustered control strategy for vehicle interior engine noise,Can Cheng; Zhien Liu; Wan Chen; Xiaolong Li; Wu Liao; Chihua Lu,Applied Acoustics,10.1016/j.apacoust.2024.110263,10,https://openalex.org/W4402440977,,,78.59
113,2026,A distributed frequency-constrained multichannel active noise control algorithm based on an extended penalty factor via circular convolution,Fei Xu; Ning Han; Tian Zhang,Signal Processing,10.1016/j.sigpro.2025.110240,1,https://openalex.org/W7077072505,,,76.77
114,2025,Frequency-Direction Aware Multichannel Selective Fixed-Filter Active Noise Control Based on Multi-Task Learning,Zhengding Luo; Dongyuan Shi; Xiruo Su; Woon-Seng Gan,"IEEE Transactions on Audio, Speech and Language Processing",10.1109/taslpro.2025.3590289,5,https://openalex.org/W4413270945,,,76.17
115,2024,GFANC-Kalman: Generative Fixed-Filter Active Noise Control With CNN-Kalman Filtering,Zhengding Luo; Dongyuan Shi; Xiaoyi Shen; Junwei Ji; Woon-Seng Gan,IEEE Signal Processing Letters,10.1109/lsp.2023.3334695,38,https://openalex.org/W4388838217,,,75.65
116,2026,An online modeling and control algorithm for narrowband active noise control,Li Rao; Tianyou Li; Chengyou Lei; Haishan Zou; Jing Lu,Applied Acoustics,10.1016/j.apacoust.2025.111011,2,https://openalex.org/W4413428521,,,75.39
117,2025,Nearest Kronecker product decomposition based multichannel filtered-x affine projection algorithm for active noise control,Lei Li; Shiyuan Wang; Sankha Subhra Bhattacharjee; Jesper Rindom Jensen; Mads Græsbøll Christensen,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2024.112055,6,https://openalex.org/W4403896550,,,73.78
118,2025,Mixed-Gradients Distributed Filtered Reference Least Mean Square Algorithm – A Robust Distributed Multichannel Active Noise Control Algorithm,Junwei Ji; Dongyuan Shi; Woon-Seng Gan,IEEE Transactions on Audio Speech and Language Processing,10.1109/taslpro.2025.3552932,7,https://openalex.org/W4408710538,https://arxiv.org/pdf/2503.17634,,74.32
119,2026,Transmission loss of a labyrinthine acoustic metamaterial augmented with multichannel feedforward active noise control,Gregory M. Hernandez; Jordan Cheer; Gianluca Memoli,Physical Review Applied,10.1103/crg1-lp6y,0,https://openalex.org/W4415332482,https://arxiv.org/pdf/2509.23491,,74.0
120,2026,Implementation of distributed multichannel active noise control with intermittent communication and coprocessor assisted data combination,Junwei Ji; Dongyuan Shi; Xiaoyi Shen; Woon-Seng Gan; Jie Chen; Jun Yang,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114024,0,https://openalex.org/W7130652226,,,74.0
121,2026,Two-layer Kronecker product decomposition-based robust recursive adaptive filtering for multichannel active noise control,Lei Li; Mingjing Cui; Xiao Liu; Yunfei Zheng; Shiyuan Wang; Jesper Rindom Jensen; Mads Græsbøll Christensen,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114053,0,https://openalex.org/W7131216833,,,74.0
122,2026,Multichannel feedforward active noise control system with an optical laser microphone and a distant air-conduction microphone for noise reduction in a real system,Maoto Mizutani; Kenta Iwai; Masato Nakayama; Takanobu Nishiura; Yoshiharu Soeta,Nippon Onkyo Gakkaishi/Acoustical science and technology/Nihon Onkyo Gakkaishi,10.1250/ast.e25.95,0,https://openalex.org/W7117246531,https://www.jstage.jst.go.jp/article/ast/advpub/0/advpub_e25.95/_pdf,,74.0
123,2026,A Novel Hybrid Active Noise Control System for Attenuating Multi-Channel Interior Broadband and Narrowband Hybrid Noise,Can Cheng; Ting Hu; Wan Chen; Zhien Liu; Xianming Sun; Lipeng Wang,Acoustics Australia,10.1007/s40857-026-00382-6,0,https://openalex.org/W7147139657,,,74.0
124,2026,Duplex wireless communication integrated multi-channel active noise control system for ICU patient’s bed,Lichuan Liu; Qiang Su; Chao Jiang,Noise Control Engineering Journal,10.3397/1/37744,0,https://openalex.org/W7141275101,,,74.0
125,2026,A Multi-Channel FxLMS Algorithm Based on a Phased Secondary Speaker Array for Active Noise Control in Three-Dimensional Cavities,Liqiang Yang; Sen Wang; Qingran Li; Jianwang Shao; Xian Wu; Chang Jin,"Circuits, Systems, and Signal Processing",10.1007/s00034-026-03561-y,0,https://openalex.org/W7140311636,,,74.0
126,2026,Active Noise Control Method Using Time Domain Neural Networks for Path Decoupling,Yijing Chu; Qinxuan Xiang; Sipei Zhao; Ming Wu; Yuezhe Zhao; Guangzheng Yu,Digital Signal Processing,10.1016/j.dsp.2026.106178,0,https://openalex.org/W4416018602,https://arxiv.org/pdf/2511.03162,,74.0
127,2026,Selective Fixed-Filter Active Noise Control Based on Parallel Structure and Bayesian Tracking,Zhenhua Cheng; Yi Zhou; Yin Liu; Yu Zhao; Liming Shi,IEEE Transactions on Consumer Electronics,10.1109/tce.2025.3642789,0,https://openalex.org/W4417201752,,,74.0
128,2026,Selective Fixed-filter Active Noise Control with Compensation Filter Based on Modified Error Filtered-x Discrete Cosine Transform Least Mean Square Algorithm,Shota TOYOOKA; Kenya DOI; Shunsuke KITA; Kenta IWAI; Yoshinobu KAJIKAWA,IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences,10.1587/transfun.2025eap1076,0,https://openalex.org/W4413185040,https://www.jstage.jst.go.jp/article/transfun/advpub/0/advpub_2025EAP1076/_pdf,,74.0
129,2025,Multi-channel adjoint least mean square algorithm with momentum factor applied on active noise control,Xiaoyi Shen; Yu Guo; Junwei Ji; Dongyuan Shi; Woon-Seng Gan,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2025.112415,6,https://openalex.org/W4407274617,,,73.78
130,2024,What is behind the meta-learning initialization of adaptive filter? — A naive method for accelerating convergence of adaptive multichannel active noise control,Dongyuan Shi; Woon-seng Gan; Xiaoyi Shen; Zhengding Luo; Junwei Ji,Neural Networks,10.1016/j.neunet.2024.106145,19,https://openalex.org/W4391179888,,,72.98
131,2025,A computational-efficient adaptive algorithm based on frequency point selection in multichannel active noise control systems,Siyuan Lian; Tianyou Li; Shuyuan Sun; Shuping Wang; Jing Lu,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2025.113176,4,https://openalex.org/W4413120008,,,72.44
132,2024,Enhancing active noise control of road noise using deep neural network to update secondary path estimate in real time,Jun Young Oh; Hyun Woo Jung; Myung Han Lee; Kyoung Hoon Lee; Yeon June Kang,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2023.110940,36,https://openalex.org/W4388688018,,,72.44
133,2024,Real-time implementation and explainable AI analysis of delayless CNN-based selective fixed-filter active noise control,Zhengding Luo; Dongyuan Shi; Junwei Ji; Xiaoyi Shen; Woon-Seng Gan,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2024.111364,33,https://openalex.org/W4393294847,,,72.11
134,2025,Causal preconditioning filters design for real-time multichannel active noise control,Yiming Wang; Yongjie Zhuang; Yangfan Liu,Applied Acoustics,10.1016/j.apacoust.2025.110950,1,https://openalex.org/W4412704541,,,71.77
135,2025,Active noise control in encapsulated structures with non-minimum phase characteristics using a Kalman filter approach,Alkahf Aboutiman; Reza Shams; Hamid Reza Karimi; Francesco Ripamonti; Marek Pawełczyk,Journal of Sound and Vibration,10.1016/j.jsv.2025.119187,6,https://openalex.org/W4410461680,,,70.78
136,2026,Investigations on drone-mounted active noise control,Jonas Steiner; Florian Hilgemann; Peter Jax,Acta Acustica,10.1051/aacus/2026030,0,https://openalex.org/W7140410886,,,71.0
